url,title,author,creator,producer,version,size,xmp,pages
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/UConn-Key-Fact-Sheet-2017.pdf,<no title>,<no author>,Adobe InDesign CC 2017 (Macintosh),Adobe PDF Library 15.0,1.4,697759,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,UCONN Women’s Center  Gender Based Violence Prevention Programs ,"Delacruz, Elise",Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,292413,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",9
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/4.-U-Got-This-Task-Force-Presentation.pdf,Not Anymore,Timothy Smagacz,Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,428791,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",14
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/PAR1999.pdf,texUCONN,<no author>,QuarkXPress(tm) 6.5,QuarkXPress(tm) 6.5,1.3,2616039,<no xmp toolkit version>,17
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/fall-2021-reentry-communication.pdf,,"Kirk, Michael",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.68,1.6,150894,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",4
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/sotu20130404.pdf,<no title>,"Kirk, Michael",Microsoft® Word 2010,Microsoft® Word 2010,1.5,384201,<no xmp toolkit version>,24
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/ltr052411.pdf,<no title>,<no author>,<no creator>,<no producer>,1.4,4565538,3.1-702,8
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Agenda-Presidents-Working-Group-Sustainability-the-Environment-12-6-19.pdf,,"Bosques, Lillian",Acrobat PDFMaker 15 for Word,Adobe PDF Library 15.0,1.5,8822,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Statement-on-the-U.S.-Supreme-Courts-Dobbs-v.-Jackson-Ruling-Reproductive-Healthcare-at-UConn-Health.pdf,Statement-on-the-U.S.-Supreme-Courts-Dobbs-v.-Jackson-Ruling-Reproductive-Healthcare-at-UConn-Health,<no author>,<no creator>,Equidox 5,1.7,113708,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Preparing-COVID19.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,137756,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/sotu20120405.pdf,<no title>,HuskyPC,Microsoft® Word 2010,Microsoft® Word 2010,1.5,356371,<no xmp toolkit version>,32
